"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 27, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 26, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 23, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 22, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 21, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 20, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 19, 2017","276.00","276.00","276.00","276.00","0.30K","0.00%"
"Jun 16, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 15, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 14, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 13, 2017","276.00","276.00","276.00","276.00","-","0.00%"
"Jun 12, 2017","276.00","276.00","276.00","276.00","0.42K","0.55%"
"Jun 09, 2017","274.50","274.50","274.50","274.50","0.55K","1.29%"
"Jun 08, 2017","271.00","271.00","271.00","271.00","0.20K","0.37%"
"Jun 07, 2017","270.00","270.00","270.00","270.00","0.03K","0.00%"
"Jun 06, 2017","270.00","270.00","270.00","270.00","0.15K","-1.10%"
"Jun 05, 2017","273.00","273.00","273.00","273.00","0.00K","-1.44%"
"Jun 02, 2017","277.00","277.00","277.00","277.00","-","0.00%"
"Jun 01, 2017","277.00","277.00","277.00","277.00","-","1.57%"
"May 31, 2017","272.71","272.71","272.71","272.71","-","-1.55%"
"May 30, 2017","277.00","277.00","277.00","277.00","-","0.00%"
"May 26, 2017","277.00","277.00","277.00","277.00","-","-0.36%"
"May 25, 2017","278.00","278.00","278.00","278.00","-","0.00%"
"May 24, 2017","278.00","278.00","278.00","278.00","0.02K","1.83%"
"May 23, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"May 22, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"May 19, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"May 18, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"May 17, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"May 16, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"May 15, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"May 12, 2017","273.00","273.00","273.00","273.00","0.03K","-1.80%"
"May 11, 2017","278.00","278.00","278.00","278.00","-","0.00%"
"May 10, 2017","278.00","278.00","278.00","278.00","-","-0.71%"
"May 09, 2017","280.00","280.00","280.00","280.00","-","0.00%"
"May 08, 2017","280.00","280.00","280.00","280.00","0.00K","1.82%"
"May 05, 2017","275.00","275.00","275.00","275.00","-","0.00%"
"May 04, 2017","275.00","275.00","275.00","275.00","0.02K","-1.08%"
"May 03, 2017","278.00","278.00","278.00","278.00","0.27K","-0.36%"
"May 02, 2017","279.00","279.00","279.00","279.00","0.15K","3.29%"
"Apr 28, 2017","270.11","270.11","270.11","270.11","-","-0.33%"
"Apr 27, 2017","271.00","271.00","271.00","271.00","-","-0.37%"
"Apr 26, 2017","272.00","272.00","272.00","272.00","-","-0.37%"
"Apr 25, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"Apr 24, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"Apr 21, 2017","273.00","273.00","273.00","273.00","-","0.00%"
"Apr 20, 2017","273.00","273.00","273.00","273.00","0.03K","0.00%"
"Apr 19, 2017","273.00","273.00","273.00","273.00","0.30K","0.00%"
"Apr 18, 2017","273.00","273.00","273.00","273.00","0.03K","0.37%"
"Apr 13, 2017","272.00","272.00","272.00","272.00","0.01K","-0.18%"
"Apr 12, 2017","272.50","272.50","272.50","272.50","0.01K","-0.55%"
"Apr 11, 2017","274.00","274.00","274.00","274.00","0.01K","-0.72%"
"Apr 10, 2017","276.00","276.00","276.00","276.00","0.45K","-1.43%"
"Apr 07, 2017","280.00","280.00","280.00","280.00","-","0.00%"
"Apr 06, 2017","280.00","280.00","280.00","280.00","0.15K","-3.45%"
"Apr 05, 2017","290.00","290.00","290.00","290.00","0.27K","2.11%"
"Apr 04, 2017","284.00","284.00","284.00","284.00","0.18K","0.35%"
"Apr 03, 2017","283.00","283.00","283.00","283.00","0.00K","-1.08%"
"Mar 31, 2017","286.09","286.09","286.09","286.09","-","0.03%"
"Mar 30, 2017","286.00","286.00","286.00","286.00","-","0.00%"
"Mar 29, 2017","286.00","286.00","286.00","286.00","-","0.00%"
"Mar 28, 2017","286.00","286.00","286.00","286.00","-","0.00%"
"Mar 27, 2017","286.00","286.00","286.00","286.00","-","-1.04%"
"Mar 24, 2017","289.00","289.00","289.00","289.00","-","-1.03%"
"Mar 23, 2017","292.00","292.00","292.00","292.00","0.01K","0.69%"
"Mar 22, 2017","290.00","290.00","290.00","290.00","-","0.00%"
"Mar 21, 2017","290.00","290.00","290.00","290.00","-","-3.97%"
"Mar 20, 2017","302.00","302.00","302.00","302.00","-","0.00%"
"Mar 17, 2017","302.00","302.00","302.00","302.00","0.02K","0.83%"
"Mar 16, 2017","299.50","299.50","299.50","299.50","-","0.00%"
"Mar 15, 2017","299.50","299.50","299.50","299.50","-","0.50%"
"Mar 14, 2017","298.00","298.00","298.00","298.00","-","0.00%"
"Mar 13, 2017","298.00","298.00","298.00","298.00","0.00K","-0.33%"
"Mar 10, 2017","299.00","299.00","299.00","299.00","0.22K","-2.29%"
"Mar 09, 2017","306.00","306.00","306.00","306.00","0.25K","-0.49%"
"Mar 08, 2017","307.50","307.50","307.50","307.50","0.14K","0.99%"
"Mar 07, 2017","304.50","304.50","304.50","304.50","0.08K","2.87%"
"Mar 06, 2017","296.00","296.00","296.00","296.00","0.20K","1.20%"
"Mar 03, 2017","292.50","292.50","292.50","292.50","0.44K","-0.17%"
"Mar 02, 2017","293.00","293.00","293.00","293.00","-","0.00%"
"Mar 01, 2017","293.00","293.00","293.00","293.00","-","11.58%"
"Feb 28, 2017","262.60","262.60","262.60","262.60","0.02K","1.00%"
"Feb 27, 2017","260.00","260.00","260.00","260.00","0.02K","-1.14%"
"Feb 24, 2017","263.00","263.00","263.00","263.00","-","0.00%"
"Feb 23, 2017","263.00","263.00","263.00","263.00","-","0.00%"
"Feb 22, 2017","263.00","263.00","263.00","263.00","0.00K","0.38%"
"Feb 21, 2017","262.00","262.00","262.00","262.00","-","0.77%"
"Feb 20, 2017","260.00","260.00","260.00","260.00","-","0.00%"
"Feb 17, 2017","260.00","260.00","260.00","260.00","-","0.39%"
"Feb 16, 2017","259.00","259.00","259.00","259.00","-","0.00%"
"Feb 15, 2017","259.00","259.00","259.00","259.00","-","0.00%"
"Feb 14, 2017","259.00","259.00","259.00","259.00","0.00K","0.78%"
"Feb 13, 2017","257.00","257.00","257.00","257.00","0.03K","1.18%"
"Feb 10, 2017","254.00","254.00","254.00","254.00","0.78K","4.53%"
"Feb 09, 2017","243.00","243.00","243.00","243.00","0.00K","0.41%"
"Feb 08, 2017","242.00","242.00","242.00","242.00","-","0.00%"
"Feb 07, 2017","242.00","242.00","242.00","242.00","-","0.41%"
"Feb 06, 2017","241.00","241.00","241.00","241.00","-","0.00%"
