"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2010","7,666.25","7,666.25","7,666.25","7,666.25","-","0.04%"
"Apr 19, 2010","7,663.00","7,663.00","7,663.00","7,663.00","-","-0.85%"
"Apr 16, 2010","7,728.50","7,728.50","7,728.50","7,728.50","-","-2.35%"
"Apr 15, 2010","7,914.50","7,914.50","7,914.50","7,914.50","-","-0.07%"
"Apr 14, 2010","7,920.00","7,920.00","7,920.00","7,920.00","-","0.63%"
"Apr 13, 2010","7,870.25","7,870.25","7,870.25","7,870.25","-","-0.07%"
"Apr 12, 2010","7,875.50","7,875.50","7,875.50","7,875.50","-","-0.27%"
"Apr 09, 2010","7,897.00","7,897.00","7,897.00","7,897.00","-","0.40%"
"Apr 08, 2010","7,865.75","7,865.75","7,865.75","7,865.75","-","-0.70%"
"Apr 07, 2010","7,921.25","7,921.25","7,921.25","7,921.25","-","-0.58%"
"Apr 06, 2010","7,967.25","7,967.25","7,967.25","7,967.25","-","1.33%"
"Apr 01, 2010","7,863.00","7,863.00","7,863.00","7,863.00","-","1.23%"
"Mar 31, 2010","7,767.75","7,767.75","7,767.75","7,767.75","-","-0.74%"
"Mar 30, 2010","7,826.00","7,826.00","7,826.00","7,826.00","-","1.05%"
"Mar 29, 2010","7,745.00","7,745.00","7,745.00","7,745.00","-","3.38%"
"Mar 26, 2010","7,491.75","7,491.75","7,491.75","7,491.75","-","1.08%"
"Mar 25, 2010","7,411.75","7,411.75","7,411.75","7,411.75","-","0.86%"
"Mar 24, 2010","7,348.25","7,348.25","7,348.25","7,348.25","-","-0.93%"
"Mar 23, 2010","7,417.25","7,417.25","7,417.25","7,417.25","-","-0.13%"
"Mar 22, 2010","7,427.25","7,427.25","7,427.25","7,427.25","-","0.18%"
"Mar 19, 2010","7,414.00","7,414.00","7,414.00","7,414.00","-","-0.71%"
"Mar 18, 2010","7,467.00","7,467.00","7,467.00","7,467.00","-","2.69%"
"Mar 15, 2010","7,271.50","7,271.50","7,271.50","7,271.50","-","-1.90%"
"Mar 12, 2010","7,412.50","7,412.50","7,412.50","7,412.50","-","-0.26%"
